Power for predictor 'type:condition', (95% confidence interval),
by largest value of subject:

7.80% ( 6.21,  9.64) - 30 rows
22.00% (19.47, 24.70) - 150 rows
37.30% (34.29, 40.38) - 260 rows
49.70% (46.56, 52.85) - 380 rows
60.60% (57.49, 63.64) - 500 rows
69.20% (66.24, 72.05) - 610 rows
76.40% (73.64, 79.00) - 730 rows
83.10% (80.63, 85.37) - 850 rows
86.40% (84.12, 88.46) - 960 rows
89.70% (87.65, 91.51) - 1080 rows

# Note - 10 responses per subject, so 1080 rows = 108 participants 
# (54 participants per condition after exclusions)
